Month,Volume_mn,Value_cr
May-21,2539.56,490360.56
Jun-21,2807.52,547373.16
Jul-21,3247.82,605883.2
Aug-21,3555.55,639116.95
Sep-21,3654.3,654648.28
Oct-21,4218.64,771406.99
Nov-21,4186.48,768436.09
Dec-21,4566.3,826848.23
Jan-22,4617.16,831993.09
Feb-22,4527.49,826843.02
Mar-22,5405.65,960581.67
Apr-22,5583.05,970038.48
May-22,5955.2,1040220.53
Jun-22,5862.75,1014412.63
Jul-22,6288.4,1063117.04
Aug-22,6579.63,1073162.17
Sep-22,6780.8,1116438.09
Oct-22,7305.42,1211587.5
Nov-22,7309.46,1190593.39
Dec-22,7829.49,1281970.86
Jan-23,8036.89,1299058.78
Feb-23,7534.76,1235846.58
Mar-23,8685.3,1404950.59
Apr-23,8863.26,1415504.71
May-23,9415.19,1489145.44
Jun-23,9335.06,1475464.26
Jul-23,9964.26,1533536.44
Aug-23,10586.02,1576536.54
Sep-23,10555.69,1579133.18
Oct-23,11408.79,1715768.34
Nov-23,11235.29,1739740.61
Dec-23,12020.23,1822949.45
Jan-24,12203.02,1841083.97
Feb-24,12102.67,1827869.35
Mar-24,13440,1978353.23
Apr-24,13303.99,1964464.52
May-24,14035.84,2044937.05
Jun-24,13885.14,2007081.2
Jul-24,14435.55,2064292.41
Aug-24,14963.05,2060735.57
Sep-24,15041.75,2063994.71
Oct-24,16584.97,2349821.46
Nov-24,15482.02,2155187.41
Dec-24,16730.01,2324699.94
